objectid,title,format,filename,subjectcontents,description,date,location,latitude,longitude
item1,Marry My Husband,image/jpeg,marrymyhusband.jpg,Comedy; Drama; Fantasy; Romance; Thriller,"After dying from betrayal, a selfless woman travels back ten years to seek revenge. Her plans derail when she meets a mysterious executive who makes her question her vengeful path.",2025,Japan,35.41,139.46
item2,There's Still Tomorrow,image/jpeg,theresstilltomorrow.jpg,Comedy; Drama; War,"In this moving comedic drama set in postwar Rome, a working-class woman dreams of a better future for herself and her daughter while facing abuse at the hands of her domineering husband. When a mysterious letter arrives, she discovers the courage to change the circumstances of her life.",2023,Italy,41.54,12.29
item3,The White Lotus Season 3,image/jpeg,whitelotusseason3.jpg,Dark Comedy; Satire; Drama,"An all-star cast head to a resort and unleash their worst, most privileged impulses. The series is a sharp social satire following the exploits of various guests and employees of the fictional White Lotus resort chain, whose stay becomes affected by their various dysfunctions. A week in the life of vacationers is unravelled as they relax and rejuvenate in paradise. With each passing day, a darker complexity emerges in these picture-perfect travelers, the hotel's cheerful employees, and the idyllic locale itself.",2025,US,40,-74
item4,Friendly Rivalry,image/jpeg,friendlyrivalry.jpg,Teen Drama; Action; Mystery; Thriller,A gripping teen mystery thriller that centers on the intense bond between teenage girls as they navigate a brutal survival competition even more challenging than the entrance exam.,2025,South Korea,37.33,126.58
item5,Princess Mononoke,image/jpeg,princessmononoke.jpg,Action Epic; Adult Animation; Adventure Epic; Anime; Dark Fantasy; Hand-Drawn Animation; Quest ,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her home.",1997,Japan,35.41,139.46
item6,Anatomy of a Fall,image/jpeg,anatomyofafall.jpg,Legal Drama; Legal Thriller; Psychological Drama; Psychological Thriller; Crime; Drama; Thriller,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.,2023,France,48.51,2.21
item7,How to Make Millions Before Grandma Dies,image/jpeg,howtomakemillionsbeforegrandmadies.jpg,Coming-of-Age; Dark Comedy; Comedy; Drama; Family,"A man, driven by his desire for a multi-million dollar inheritance, begins to care for his terminally ill grandmother. However, winning her favor will not be an easy task and he is not the only one with an eye on the money.",2024,Thailand,13.48,100.33
item8,A Touch of Sin,image/jpeg,touchofsin.jpg,Crime; Drama,Four outcasts on the edges of a rapidly changing China channel their rage into a bloody rampage.,2013,China,39.55,116.23
item9,The Invisible Guest,image/jpeg,invisibleguest.jpg,Legal Thriller; Suspense Mystery; Crime; Drama; Mystery; Thriller,"A young businessman wakes up in a hotel room locked from the inside with the dead body of his lover next to him. He hires a prestigious lawyer, and over one night they work together to clarify what happened in a frenetic race against time.",2016,Spain,40.26,3.42
item10,Mufasa: The Lion King,image/jpeg,mufasathelionking.jpg,Animal Adventure; Computer Animation; Adventure; Animation; Drama; Family; Musical,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",2024,US,40,-74
